id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1627491975384424449,1627491975384424449,2023-02-20 07:44:58 IST,2023-02-20,07:44:58,+0530,153215919,corynickols,Cory Nickols Ministries,,Do you ever feel like you're in one big struggle &amp; want to give up? Join Kris &amp; Cory as they share insights from God's Word on Overcoming: Standing Firm amid life's adversities. #overcomer #dontgiveup #endure #standstrong --  https://t.co/VvGKn8dGMq,en,[],['https://fb.me/e/2tBXDqdVO'],[],0,0,1,"['overcomer', 'dontgiveup', 'endure', 'standstrong']",[],https://twitter.com/CoryNickols/status/1627491975384424449,False,,0,,,,,,,,[],,,,
1627467854571528192,1627467854571528192,2023-02-20 06:09:08 IST,2023-02-20,06:09:08,+0530,1171236032198524928,cryptomotifs,🇨🇦 Sai 🔶 Vancouver | British Columbia | Canada,,"Despite daily FUD and oppression by some paid media, @binance continues to stand strong and resilient, committed to providing the best crypto experience for its users. Stay strong and keep building, 💪@cz_binance We Stand United $BNB   #Binance #CryptoCommunity #StandStrong #bsc  https://t.co/GQ0W4twl4s",en,"[{'screen_name': 'binance', 'name': 'binance', 'id': '877807935493033984'}, {'screen_name': 'cz_binance', 'name': 'cz 🔶 binance', 'id': '902926941413453824'}]",[],['https://pbs.twimg.com/media/FpXsX9pakAAqzq8.jpg'],38,85,84,"['binance', 'cryptocommunity', 'standstrong', 'bsc']",['bnb'],https://twitter.com/cryptomotifs/status/1627467854571528192,False,,1,https://pbs.twimg.com/media/FpXsX9pakAAqzq8.jpg,,,,,,,[],,,,
1627440534884167681,1627440534884167681,2023-02-20 04:20:34 IST,2023-02-20,04:20:34,+0530,1325292003429670912,bilaalimata,Alimata Bila,,"Bully victims are between 2 to 9 times more likely to consider suicide than non-victims, according to studies by Yale University #stopBullying #speakup #beabuddynotabully #tasteyourwords #standforsomeone #youmatter #youarestrong #Standstrong #youareloved  https://t.co/bY2UmxNEFt",en,[],[],['https://pbs.twimg.com/media/FpXUin5WcAAThkh.jpg'],0,0,0,"['stopbullying', 'speakup', 'beabuddynotabully', 'tasteyourwords', 'standforsomeone', 'youmatter', 'youarestrong', 'standstrong', 'youareloved']",[],https://twitter.com/BilaAlimata/status/1627440534884167681,False,,1,https://pbs.twimg.com/media/FpXUin5WcAAThkh.jpg,,,,,,,[],,,,
1627389599017304066,1627389599017304066,2023-02-20 00:58:10 IST,2023-02-20,00:58:10,+0530,1896926354,wazobiafmkano,#ChookMouth WazobiaFMKano,,#NowOnAir #SUNDAYMEDEMEDE w/ @AiyedeBigmadam   ▶️#NowPlaying #StandStrong by @davido                            #ChookMouth  #SundayVibes #WeekendChilling # #WazobiaKano #CelebratingLife #CelebratingSurvival,und,"[{'screen_name': 'aiyedebigmadam', 'name': 'princess aiyede', 'id': '716033965'}, {'screen_name': 'davido', 'name': 'davido', 'id': '192947735'}]",[],[],0,0,0,"['nowonair', 'sundaymedemede', 'nowplaying', 'standstrong', 'chookmouth', 'sundayvibes', 'weekendchilling', 'wazobiakano', 'celebratinglife', 'celebratingsurvival']",[],https://twitter.com/WazobiaFMKano/status/1627389599017304066,False,,0,,,,,,,,[],,,,
1627293301714870273,1627293301714870273,2023-02-19 18:35:31 IST,2023-02-19,18:35:31,+0530,175246449,stawoww,Stacey Berardo,,They are standing for 46 hours FOR THE KIDS! THON 2023💛 #FIGHTCHILDHOODCANCER #PENNSTATEPROUD #STANDSTRONG  https://t.co/pKMW0J5v4x,en,[],[],['https://pbs.twimg.com/media/FpVOoiYXgAANrTt.jpg'],1,0,10,"['fightchildhoodcancer', 'pennstateproud', 'standstrong']",[],https://twitter.com/stawoww/status/1627293301714870273,False,,1,https://pbs.twimg.com/media/FpVOoiYXgAANrTt.jpg,,,,,,,[],,,,
1627236011892678656,1627234004402425857,2023-02-19 14:47:52 IST,2023-02-19,14:47:52,+0530,1828008103,jedinho007,Anthony Jr,,"@Classycrystale1 @PeterObi #StandStrong Obidients, we're almost there💪✊",en,[],[],[],1,0,0,['standstrong'],[],https://twitter.com/Jedinho007/status/1627236011892678656,False,,0,,,,,,,,"[{'screen_name': 'Classycrystale1', 'name': 'DEKA💗', 'id': '867501379081961472'}, {'screen_name': 'PeterObi', 'name': 'Peter Obi', 'id': '1050779471731707904'}]",,,,
1627113203644911616,1627113099894607872,2023-02-19 06:39:52 IST,2023-02-19,06:39:52,+0530,2223550502,joseduransports,Jose Duran,,…that time is superior to fans’ principles and for believing that fans will be “ok” with the current status of the FO. They do not know the fans of the LA Galaxy.. they do not know Los Angeles! #StandStrong #IstandWithSG,en,[],[],[],2,8,71,"['standstrong', 'istandwithsg']",[],https://twitter.com/joseduransports/status/1627113203644911616,False,,0,,,,,,,,[],,,,
1627086402369511427,1627086402369511427,2023-02-19 04:53:22 IST,2023-02-19,04:53:22,+0530,555839544,igorpugdog,Zombie Pug & Crowley aka Lil C,,Mom received these beautiful flowers today from our friend Brawley pug! They worked in cheering her up 💜💚  #pug #sadness #support #standstrong #loveyouMom  https://t.co/dnojhpL3WR,en,[],[],['https://pbs.twimg.com/media/FpSSdGmaMAUyBO_.jpg'],2,2,103,"['pug', 'sadness', 'support', 'standstrong', 'loveyoumom']",[],https://twitter.com/IgorPugDog/status/1627086402369511427,False,,1,https://pbs.twimg.com/media/FpSSdGmaMAUyBO_.jpg,,,,,,,[],,,,
1627078108787646471,1627078108787646471,2023-02-19 04:20:25 IST,2023-02-19,04:20:25,+0530,548409203,dianninag,Diana Gomez,,We fight not just for today. We fight for the present of our future. #standstrong #UnitedWeStand #onelove #inGodwetrust #brotherandsister  https://t.co/C5dAgZujro,en,[],[],['https://pbs.twimg.com/media/FpSK6hDaAAEoMK0.jpg'],1,0,1,"['standstrong', 'unitedwestand', 'onelove', 'ingodwetrust', 'brotherandsister']",[],https://twitter.com/DianninaG/status/1627078108787646471,False,,1,https://pbs.twimg.com/media/FpSK6hDaAAEoMK0.jpg,,,,,,,[],,,,
1627025613784588288,1627025613784588288,2023-02-19 00:51:49 IST,2023-02-19,00:51:49,+0530,3435470663,garvensunkari,DeRise👷🏽‍♂️🇬🇭🦅,,"You see the money and the fame, isn’t really a stress free. Really don't know what is going on in my life. No pleasure comes from pain. No money fall like rain. This thing dey burst my brain 🧠.  #StandStrong✊🏿👷🏽‍♂️",en,[],[],[],0,0,2,['standstrong'],[],https://twitter.com/GarvenSunkari/status/1627025613784588288,False,,0,,,,,,,,[],,,,
